country_code,year,mean_avg_welfare,median_quantile,welfare_std,welfare_iqr,total_pop,is_partial_year,bottom20_avg_welfare,bottom20_welfare_share,bottom40_welfare_share,top20_avg_welfare,top20_welfare_share,top10_avg_welfare,top10_welfare_share,p10_avg_welfare,p90_avg_welfare,top20_bottom20_ratio,p90_p10_ratio,welfare_gap,time_code,country_name,gdp_per_capita,life_expectancy,school_enrollment_secondary,population_total,electricity_access,unemployment_total,log_gdp_per_capita,date,decade,inequality_category,gdp_per_capita_norm,life_expectancy_norm,school_enrollment_secondary_norm,electricity_access_norm,development_score,development_tier
ALB,2019,14.631818313763425,12.35634905615661,8.727750704206645,9.127375392752295,28472.75115121847,False,6.225323522914495,0.0850929582286931,0.2146810086793802,28.428645286034715,0.3885866360067258,34.58230440436914,0.2363500124372048,5.170503323177185,34.58230440436914,4.566613314375241,6.6883825892445055,0.3034936777780327,YR2019,Albania,6069.43903131027,79.467,99.01515356567,2567801.0,100.0,11.466,8.7111862094957,2019-01-01,2010,Low inequality,0.043156464342216205,0.8849845306113231,0.5760783912560226,1.0,0.6260548465523905,Medium development
ALB,2020,14.847157669536536,12.83860125250021,8.448224807405516,9.211060701484572,28031.91623901367,False,6.2676636939065755,0.0844291390097728,0.2164205223027037,28.227366121169855,0.3802393259295264,33.7916134021464,0.2275965147960957,5.067822831796033,33.7916134021464,4.503650403038138,6.667875836174541,0.29581018691975364,YR2020,Albania,6027.91350716348,77.824,95.9294474518951,2528480.0,100.0,11.639,8.704322092253388,2020-01-01,2020,Low inequality,0.04284820564285594,0.8478805808360244,0.5533763355344308,1.0,0.6110262805033277,Medium development
ARM,2019,9.087721708675492,7.717232305556755,6.495384420275351,4.8610102147569245,28849.57791202545,False,4.060170667755615,0.0893550836592993,0.2213301308006454,17.817060541993865,0.3921128113988159,22.94311847698114,0.2524628197524898,3.4060259677321567,22.94311847698114,4.388254090767765,6.736037450782391,0.3027577277395166,YR2019,Armenia,4597.22887399548,76.2219512195122,86.8260633029699,2962500.0,100.0,18.304,8.43342648094282,2019-01-01,2010,Low inequality,0.032227725991446715,0.8117014344642669,0.48640121652313545,1.0,0.5825825942447123,Low development
ARM,2020,8.58977997333412,7.608539468751789,4.51397797826445,4.245441750446938,27146.37853742615,False,4.392951265006259,0.1022832081530288,0.2453439575347178,15.258834622598439,0.3552788236710961,18.43057752492023,0.21456402355049392,3.759290642333076,18.43057752492023,3.473481425607552,4.902674275134502,0.25299561551806726,YR2020,Armenia,4268.68093304583,73.3756097560976,88.5080298201293,2961500.0,100.0,18.175,8.359294380490686,2020-01-01,2020,Low inequality,0.02978879805409854,0.7474223652604413,0.4987757253669773,1.0,0.5689967221703793,Low development
ARM,2021,8.941558378416198,7.749302181734307,5.566521171733421,4.5694576355197585,26523.51203460332,False,4.210893700983964,0.0941870202659217,0.2317734971087141,16.8516257293965,0.3769281598624636,21.059978794685794,0.235529176273353,3.5457692140776715,21.059978794685794,4.001911927973571,5.939466875360058,0.2827411395965419,YR2021,Armenia,4685.17997128509,72.2780487804878,91.4853735120921,2962300.0,100.0,15.469,8.452373024494369,2021-01-01,2020,Low inequality,0.032880618192444956,0.7226360917885276,0.5206805406361737,1.0,0.5690493126542866,Low development
ARM,2022,8.864717634702286,7.719168026163008,5.245301203198516,4.819440638704895,28545.2620063822,False,4.078835693880492,0.09202404096693981,0.2282311852242625,16.52422842155544,0.3728089061035722,20.389749437556237,0.230010139947708,3.458466441727211,20.389749437556237,4.05121207660972,5.895604245728429,0.28078486513663237,YR2022,Armenia,6571.97445545099,74.7658536585366,91.7106609922965,2969200.0,100.0,13.451,8.790721741971375,2022-01-01,2020,Low inequality,0.0468869630995703,0.7788183116581965,0.5223380182897149,1.0,0.5870108232618705,Medium development
ARM,2023,8.848503041633704,7.726025266856813,5.214151621921039,4.569275631592848,28430.31319444449,False,4.216609957669133,0.0953067414415602,0.2351239755738328,16.32669181693014,0.36902720697750513,20.251593172464936,0.2288702741828496,3.5435411536611445,20.251593172464936,3.8719947969660544,5.715072097170716,0.2737204655359449,YR2023,Armenia,8159.08720967996,77.4658536585366,89.4111027634947,2964300.0,100.0,12.405,9.007010135361822,2023-01-01,2020,Low inequality,0.05866866419567867,0.8397925443991012,0.505419783979501,1.0,0.6009702481435703,Medium development
AUS,2020,72.71122197769408,59.90413438983985,52.46066535410616,47.152317247302406,247020.7317844001,False,26.21096657194476,0.0720960695172629,0.1956156480449497,150.11533366200462,0.4129082955257045,188.59652350496646,0.25937746385670907,18.714649458593865,188.59652350496646,5.727195647286143,10.077480955346559,0.34081222600844163,YR2020,Australia,51983.4523666382,83.2,137.490737915039,25649248.0,100.0,6.394,10.858699959906996,2020-01-01,2020,Medium inequality,0.38399247602329056,0.9692870531379147,0.8591496973408442,1.0,0.8031073066255123,High development
AUT,2019,78.69561593340423,68.55568151983616,47.89154984598988,47.7635332091097,87540.34435913086,False,31.02485980880695,0.078847746321883,0.2117099878792688,150.16533353383386,0.38163583003381163,182.681996069003,0.2321374499738291,22.712439014873503,182.681996069003,4.840161549777794,8.043257527268278,0.3027880837119286,YR2019,Austria,49885.9947355204,81.8951219512195,101.543632507324,8879920.0,100.0,4.56,10.817515621227933,2019-01-01,2010,Low inequality,0.3684223038312168,0.9398189280101961,0.594680833519741,1.0,0.7257305163402885,High development
AUT,2020,78.89991533693399,70.29287452418203,47.585742537437845,47.1449139126281,87965.10214767457,False,31.244000777518107,0.0791990730131806,0.2138260872681428,149.2574371134363,0.3783462541779599,182.24061996523486,0.230976952493541,22.475997158092653,182.24061996523486,4.7771550825474245,8.108232915469014,0.29914718116477934,YR2020,Austria,48716.4098900349,81.1926829268293,101.690559387207,8916864.0,100.0,5.201,10.793791737793944,2020-01-01,2020,Low inequality,0.3597400605442599,0.9239557129881734,0.5957617991370476,1.0,0.7198643931673703,High development
